,model,tmscore
0,af3_jian_0,0.9658
1,af3_jian_1,0.9626
2,af3_jian_2,0.9749
3,af3_jian_3,0.9663
4,af3_jian_4,0.9607
5,af3_jian_5,0.9725
6,af3_jian_6,0.9627
7,af3_jian_7,0.9639
8,af3_jian_8,0.9665
9,af3_jian_9,0.9642
10,af3_pawan_0,0.9612
11,af3_pawan_1,0.9629
12,af3_pawan_2,0.981
13,af3_pawan_3,0.9754
14,af3_pawan_4,0.9714
15,af3_pawan_5,0.9666
16,af3_pawan_6,0.9816
17,af3_pawan_7,0.9674
18,af3_pawan_8,0.9601
19,af3_pawan_9,0.9606
20,colabfold_web_0,0.934
21,colabfold_web_1,0.9185
22,colabfold_web_2,0.9322
23,colabfold_web_3,0.9613
24,colabfold_web_4,0.943
25,colabfold_web_not_0,0.9332
26,colabfold_web_not_1,0.9364
27,colabfold_web_not_2,0.9357
28,colabfold_web_not_3,0.946
29,colabfold_web_not_4,0.9434
30,deepmsa_DeepJGI_0,0.9151
31,deepmsa_DeepJGI_1,0.9131
32,deepmsa_DeepJGI_2,0.9213
33,deepmsa_DeepJGI_3,0.9195
34,deepmsa_DeepJGI_4,0.919
35,deepmsa_DeepJGI_hms_0,0.9016
36,deepmsa_DeepJGI_hms_1,0.9139
37,deepmsa_DeepJGI_hms_2,0.9038
38,deepmsa_DeepJGI_hms_3,0.916
39,deepmsa_DeepJGI_hms_4,0.9168
40,deepmsa_dMSA_0,0.915
41,deepmsa_dMSA_1,0.915
42,deepmsa_dMSA_2,0.9182
43,deepmsa_dMSA_3,0.9165
44,deepmsa_dMSA_4,0.9197
45,deepmsa_dMSA_hhb_0,0.2275
46,deepmsa_dMSA_hhb_1,0.2292
47,deepmsa_dMSA_hhb_2,0.2428
48,deepmsa_dMSA_hhb_3,0.3442
49,deepmsa_dMSA_hhb_4,0.2622
50,deepmsa_dMSA_hms_0,0.9144
51,deepmsa_dMSA_hms_1,0.9161
52,deepmsa_dMSA_hms_2,0.915
53,deepmsa_dMSA_hms_3,0.9171
54,deepmsa_dMSA_hms_4,0.9163
55,deepmsa_dMSA_jac_0,0.9105
56,deepmsa_dMSA_jac_1,0.9132
57,deepmsa_dMSA_jac_2,0.9159
58,deepmsa_dMSA_jac_3,0.9166
59,deepmsa_dMSA_jac_4,0.915
60,deepmsa_q3JGI_0,0.9185
61,deepmsa_q3JGI_1,0.9211
62,deepmsa_q3JGI_2,0.9196
63,deepmsa_q3JGI_3,0.9161
64,deepmsa_q3JGI_4,0.9359
65,deepmsa_q3JGI_hms_0,0.9182
66,deepmsa_q3JGI_hms_1,0.9268
67,deepmsa_q3JGI_hms_2,0.9186
68,deepmsa_q3JGI_hms_3,0.9305
69,deepmsa_q3JGI_hms_4,0.9314
70,deepmsa_q4JGI_0,0.9178
71,deepmsa_q4JGI_1,0.9001
72,deepmsa_q4JGI_2,0.9036
73,deepmsa_q4JGI_3,0.893
74,deepmsa_q4JGI_4,0.9365
75,deepmsa_q4JGI_hms_0,0.9197
76,deepmsa_q4JGI_hms_1,0.9001
77,deepmsa_q4JGI_hms_2,0.9106
78,deepmsa_q4JGI_hms_3,0.9201
79,deepmsa_q4JGI_hms_4,0.9527
80,deepmsa_qMSA_0,0.9018
81,deepmsa_qMSA_1,0.9198
82,deepmsa_qMSA_2,0.8961
83,deepmsa_qMSA_3,0.9212
84,deepmsa_qMSA_4,0.9004
85,deepmsa_qMSA_hh3_0,0.9239
86,deepmsa_qMSA_hh3_1,0.9175
87,deepmsa_qMSA_hh3_2,0.9293
88,deepmsa_qMSA_hh3_3,0.9281
89,deepmsa_qMSA_hh3_4,0.8305
90,deepmsa_qMSA_hhb_0,0.9148
91,deepmsa_qMSA_hhb_1,0.9297
92,deepmsa_qMSA_hhb_2,0.9252
93,deepmsa_qMSA_hhb_3,0.9215
94,deepmsa_qMSA_hhb_4,0.9346
95,deepmsa_qMSA_hms_0,0.92
