,model,tmscore
0,af3_jian_0,0.3713
1,af3_jian_1,0.3741
2,af3_jian_2,0.3779
3,af3_jian_3,0.3707
4,af3_jian_4,0.3769
5,af3_jian_5,0.3907
6,af3_jian_6,0.3735
7,af3_jian_7,0.3752
8,af3_jian_8,0.3719
9,af3_jian_9,0.3727
10,af3_pawan_0,0.7251
11,af3_pawan_1,0.3777
12,af3_pawan_2,0.7146
13,af3_pawan_3,0.3806
14,af3_pawan_4,0.3734
15,af3_pawan_5,0.3757
16,af3_pawan_6,0.3767
17,af3_pawan_7,0.3722
18,af3_pawan_8,0.3688
19,af3_pawan_9,0.3763
20,colabfold_web_0,0.3543
21,colabfold_web_1,0.3541
22,colabfold_web_2,0.3538
23,colabfold_web_3,0.355
24,colabfold_web_4,0.3539
25,colabfold_web_not_0,0.3521
26,colabfold_web_not_1,0.3526
27,colabfold_web_not_2,0.3537
28,colabfold_web_not_3,0.3543
29,colabfold_web_not_4,0.3529
30,deepmsa_DeepJGI_0,0.3552
31,deepmsa_DeepJGI_1,0.3569
32,deepmsa_DeepJGI_2,0.3561
33,deepmsa_DeepJGI_3,0.3574
34,deepmsa_DeepJGI_4,0.3552
35,deepmsa_DeepJGI_hms_0,0.355
36,deepmsa_DeepJGI_hms_1,0.3548
37,deepmsa_DeepJGI_hms_2,0.355
38,deepmsa_DeepJGI_hms_3,0.3562
39,deepmsa_DeepJGI_hms_4,0.3556
40,deepmsa_dMSA_0,0.3559
41,deepmsa_dMSA_1,0.3558
42,deepmsa_dMSA_2,0.356
43,deepmsa_dMSA_3,0.3555
44,deepmsa_dMSA_4,0.356
45,deepmsa_dMSA_hhb_0,0.3552
46,deepmsa_dMSA_hhb_1,0.3563
47,deepmsa_dMSA_hhb_2,0.3545
48,deepmsa_dMSA_hhb_3,0.3547
49,deepmsa_dMSA_hhb_4,0.355
50,deepmsa_dMSA_hms_0,0.3551
51,deepmsa_dMSA_hms_1,0.3569
52,deepmsa_dMSA_hms_2,0.3557
53,deepmsa_dMSA_hms_3,0.3561
54,deepmsa_dMSA_hms_4,0.3559
55,deepmsa_dMSA_jac_0,0.3561
56,deepmsa_dMSA_jac_1,0.3564
57,deepmsa_dMSA_jac_2,0.3558
58,deepmsa_dMSA_jac_3,0.3568
59,deepmsa_dMSA_jac_4,0.357
60,deepmsa_q3JGI_0,0.3543
61,deepmsa_q3JGI_1,0.355
62,deepmsa_q3JGI_2,0.3543
63,deepmsa_q3JGI_3,0.3543
64,deepmsa_q3JGI_4,0.3542
65,deepmsa_q4JGI_0,0.3538
66,deepmsa_q4JGI_1,0.3548
67,deepmsa_q4JGI_2,0.3544
68,deepmsa_q4JGI_3,0.3546
69,deepmsa_q4JGI_4,0.3543
70,deepmsa_qMSA_0,0.354
71,deepmsa_qMSA_1,0.3541
72,deepmsa_qMSA_2,0.3536
73,deepmsa_qMSA_3,0.354
74,deepmsa_qMSA_4,0.3534
75,deepmsa_qMSA_hhb_0,0.3553
76,deepmsa_qMSA_hhb_1,0.354
77,deepmsa_qMSA_hhb_2,0.354
78,deepmsa_qMSA_hhb_3,0.3545
79,deepmsa_qMSA_hhb_4,0.3543
80,def_drop_nos_0,0.366
81,def_drop_nos_1,0.3789
82,def_drop_nos_2,0.3753
83,def_drop_nos_3,0.3617
84,def_drop_nos_4,0.3662
85,def_drop_s_0,0.3712
86,def_drop_s_1,0.3672
87,def_drop_s_2,0.3733
88,def_drop_s_3,0.3687
89,def_drop_s_4,0.3656
90,def_esm_msa_0,0.3798
91,def_esm_msa_1,0.3787
92,def_esm_msa_2,0.3808
93,def_esm_msa_3,0.38
94,def_esm_msa_4,0.381
95,def_esm_msa_ckpt5_0,0.3786
96,def_esm_msa_ckpt5_1,0.3791
97,def_esm_msa_ckpt5_2,0.3791
98,def_esm_msa_ckpt5_3,0.3801
99,def_esm_msa_ckpt5_4,0.3795
100,def_notemp_0,0.3781
101,def_notemp_1,0.3776
102,def_notemp_2,0.3785
103,def_notemp_3,0.3786
104,def_notemp_4,0.3787
105,def_notemp_drop_nos_0,0.3796
106,def_notemp_drop_nos_1,0.377
107,def_notemp_drop_nos_2,0.3767
108,def_notemp_drop_nos_3,0.3785
109,def_notemp_drop_nos_4,0.3793
110,def_notemp_drop_s_0,0.3787
111,def_notemp_drop_s_1,0.3782
112,def_notemp_drop_s_2,0.3784
113,def_notemp_drop_s_3,0.3781
114,def_notemp_drop_s_4,0.3552
115,def_ptm_drop_nos_0,0.3758
116,def_ptm_drop_nos_1,0.377
117,def_ptm_drop_nos_2,0.38
118,def_ptm_drop_nos_3,0.3751
119,def_ptm_drop_nos_4,0.3796
120,def_ptm_drop_s_0,0.363
121,def_ptm_drop_s_1,0.3595
122,def_ptm_drop_s_2,0.3634
123,def_ptm_drop_s_3,0.3777
124,def_ptm_drop_s_4,0.3634
125,def_ptm_not_drop_nos_0,0.3794
126,def_ptm_not_drop_nos_1,0.3793
127,def_ptm_not_drop_nos_2,0.373
128,def_ptm_not_drop_nos_3,0.3793
129,def_ptm_not_drop_nos_4,0.3593
130,def_ptm_not_drop_s_0,0.3746
131,def_ptm_not_drop_s_1,0.3738
132,def_ptm_not_drop_s_2,0.3717
133,def_ptm_not_drop_s_3,0.3783
134,def_ptm_not_drop_s_4,0.3792
135,def_ptm_notemp_0,0.378
136,def_ptm_notemp_1,0.3787
137,def_ptm_notemp_2,0.3777
138,def_ptm_notemp_3,0.3789
139,def_ptm_notemp_4,0.3786
140,default_0,0.3688
141,default_1,0.3674
142,default_2,0.3648
143,default_3,0.3605
144,default_4,0.3671
145,default_pdb70_new_0,0.355
146,default_pdb70_new_1,0.3781
147,default_pdb70_new_2,0.3782
148,default_pdb70_new_3,0.3786
149,default_pdb70_new_4,0.3784
150,default_ptm_0,0.3647
151,default_ptm_1,0.3745
152,default_ptm_2,0.364
153,default_ptm_3,0.3561
154,default_ptm_4,0.3621
155,default_seq_temp_0,0.3783
156,default_seq_temp_1,0.3785
157,default_seq_temp_2,0.3792
158,default_seq_temp_3,0.3777
159,default_seq_temp_4,0.3784
160,dhr_0,0.3542
161,dhr_1,0.3547
162,dhr_2,0.3543
163,dhr_3,0.3537
164,dhr_4,0.3557
165,ori_seq_temp_0,0.3788
166,ori_seq_temp_1,0.3766
167,ori_seq_temp_2,0.3793
168,ori_seq_temp_3,0.3794
169,ori_seq_temp_4,0.3794
170,original_0,0.3786
171,original_1,0.3796
172,original_2,0.3795
173,original_3,0.3796
174,original_4,0.3801
