,model,tmscore
0,af3_jian_0,0.9952
1,af3_jian_1,0.9955
2,af3_jian_2,0.9953
3,af3_jian_3,0.9955
4,af3_jian_4,0.9958
5,af3_jian_5,0.9958
6,af3_jian_6,0.9954
7,af3_jian_7,0.9957
8,af3_jian_8,0.9954
9,af3_jian_9,0.9954
10,af3_pawan_0,0.9952
11,af3_pawan_1,0.9949
12,af3_pawan_2,0.9953
13,af3_pawan_3,0.9955
14,af3_pawan_4,0.9954
15,af3_pawan_5,0.9951
16,af3_pawan_6,0.9957
17,af3_pawan_7,0.9956
18,af3_pawan_8,0.9955
19,af3_pawan_9,0.9952
20,colabfold_web_0,0.9945
21,colabfold_web_1,0.9937
22,colabfold_web_2,0.9944
23,colabfold_web_3,0.9938
24,colabfold_web_4,0.9946
25,colabfold_web_not_0,0.9946
26,colabfold_web_not_1,0.9945
27,colabfold_web_not_2,0.9945
28,colabfold_web_not_3,0.9945
29,colabfold_web_not_4,0.9946
30,deepmsa_dMSA_0,0.9947
31,deepmsa_dMSA_1,0.9948
32,deepmsa_dMSA_2,0.9947
33,deepmsa_dMSA_3,0.9946
34,deepmsa_dMSA_4,0.9948
35,deepmsa_dMSA_hhb_0,0.9948
36,deepmsa_dMSA_hhb_1,0.9947
37,deepmsa_dMSA_hhb_2,0.9948
38,deepmsa_dMSA_hhb_3,0.9945
39,deepmsa_dMSA_hhb_4,0.9949
40,deepmsa_qMSA_0,0.9945
41,deepmsa_qMSA_1,0.9947
42,deepmsa_qMSA_2,0.9845
43,deepmsa_qMSA_3,0.9847
44,deepmsa_qMSA_4,0.9844
45,deepmsa_qMSA_hhb_0,0.9942
46,deepmsa_qMSA_hhb_1,0.9848
47,deepmsa_qMSA_hhb_2,0.9848
48,deepmsa_qMSA_hhb_3,0.9845
49,deepmsa_qMSA_hhb_4,0.9848
50,def_drop_nos_0,0.9948
51,def_drop_nos_1,0.995
52,def_drop_nos_2,0.9946
53,def_drop_nos_3,0.9947
54,def_drop_nos_4,0.9948
55,def_drop_s_0,0.9947
56,def_drop_s_1,0.9944
57,def_drop_s_2,0.9947
58,def_drop_s_3,0.9952
59,def_drop_s_4,0.9945
60,def_esm_msa_0,0.995
61,def_esm_msa_1,0.9947
62,def_esm_msa_2,0.9947
63,def_esm_msa_3,0.9945
64,def_esm_msa_4,0.9947
65,def_esm_msa_ckpt5_0,0.9946
66,def_esm_msa_ckpt5_1,0.9949
67,def_esm_msa_ckpt5_2,0.9946
68,def_esm_msa_ckpt5_3,0.9945
69,def_esm_msa_ckpt5_4,0.9947
70,def_notemp_0,0.9941
71,def_notemp_1,0.994
72,def_notemp_2,0.9941
73,def_notemp_3,0.9941
74,def_notemp_4,0.994
75,def_notemp_drop_nos_0,0.9941
76,def_notemp_drop_nos_1,0.994
77,def_notemp_drop_nos_2,0.9942
78,def_notemp_drop_nos_3,0.9943
79,def_notemp_drop_nos_4,0.9942
80,def_notemp_drop_s_0,0.9944
81,def_notemp_drop_s_1,0.9942
82,def_notemp_drop_s_2,0.9933
83,def_notemp_drop_s_3,0.9943
84,def_notemp_drop_s_4,0.9939
85,def_ptm_drop_nos_0,0.9945
86,def_ptm_drop_nos_1,0.9949
87,def_ptm_drop_nos_2,0.9945
88,def_ptm_drop_nos_3,0.9947
89,def_ptm_drop_nos_4,0.9945
90,def_ptm_drop_s_0,0.995
91,def_ptm_drop_s_1,0.9948
92,def_ptm_drop_s_2,0.9949
93,def_ptm_drop_s_3,0.9944
94,def_ptm_drop_s_4,0.9943
95,def_ptm_not_drop_nos_0,0.994
96,def_ptm_not_drop_nos_1,0.9947
97,def_ptm_not_drop_nos_2,0.9938
98,def_ptm_not_drop_nos_3,0.9943
99,def_ptm_not_drop_nos_4,0.9943
100,def_ptm_not_drop_s_0,0.9941
101,def_ptm_not_drop_s_1,0.9945
102,def_ptm_not_drop_s_2,0.9944
103,def_ptm_not_drop_s_3,0.9941
104,def_ptm_not_drop_s_4,0.9947
105,def_ptm_notemp_0,0.9944
106,def_ptm_notemp_1,0.9946
107,def_ptm_notemp_2,0.9945
108,def_ptm_notemp_3,0.9939
109,def_ptm_notemp_4,0.9944
110,default_0,0.9946
111,default_1,0.9945
112,default_2,0.9946
113,default_3,0.9952
114,default_4,0.9946
115,default_pdb70_new_0,0.9942
116,default_pdb70_new_1,0.994
117,default_pdb70_new_2,0.9941
118,default_pdb70_new_3,0.994
119,default_pdb70_new_4,0.9939
120,default_ptm_0,0.9939
121,default_ptm_1,0.9946
122,default_ptm_2,0.9943
123,default_ptm_3,0.995
124,default_ptm_4,0.995
125,default_seq_temp_0,0.9945
126,default_seq_temp_1,0.9946
127,default_seq_temp_2,0.9945
128,default_seq_temp_3,0.9941
129,default_seq_temp_4,0.9947
130,dhr_0,0.9919
131,dhr_1,0.9921
132,dhr_2,0.9938
133,dhr_3,0.9916
134,dhr_4,0.9929
135,ori_seq_temp_0,0.9944
136,ori_seq_temp_1,0.9946
137,ori_seq_temp_2,0.9942
138,ori_seq_temp_3,0.9944
139,ori_seq_temp_4,0.9946
140,original_0,0.9947
141,original_1,0.9947
142,original_2,0.9942
143,original_3,0.9939
144,original_4,0.9942
