,model,tmscore
0,af3_jian_0,57.787
1,af3_jian_1,57.582
2,af3_jian_2,58.402
3,af3_jian_3,58.607
4,af3_jian_4,57.992
5,af3_pawan_0,62.5
6,af3_pawan_1,57.787
7,af3_pawan_2,57.787
8,af3_pawan_3,57.787
9,af3_pawan_4,58.197
10,colabfold_web_0,57.377
11,colabfold_web_1,57.172
12,colabfold_web_2,57.172
13,colabfold_web_3,57.172
14,colabfold_web_4,57.377
15,colabfold_web_not_0,57.172
16,colabfold_web_not_1,56.967
17,colabfold_web_not_2,57.377
18,colabfold_web_not_3,57.582
19,colabfold_web_not_4,57.787
20,deepmsa_DeepJGI_0,60.246
21,deepmsa_DeepJGI_1,60.451
22,deepmsa_DeepJGI_2,60.451
23,deepmsa_DeepJGI_3,60.451
24,deepmsa_DeepJGI_4,61.475
25,deepmsa_dMSA_0,60.656
26,deepmsa_dMSA_1,60.656
27,deepmsa_dMSA_2,61.475
28,deepmsa_dMSA_3,60.656
29,deepmsa_dMSA_4,60.656
30,deepmsa_dMSA_hhb_0,61.68
31,deepmsa_dMSA_hhb_1,61.27
32,deepmsa_dMSA_hhb_2,61.066
33,deepmsa_dMSA_hhb_3,61.27
34,deepmsa_dMSA_hhb_4,61.68
35,deepmsa_dMSA_jac_0,60.451
36,deepmsa_dMSA_jac_1,60.861
37,deepmsa_dMSA_jac_2,60.656
38,deepmsa_dMSA_jac_3,61.475
39,deepmsa_dMSA_jac_4,61.475
40,deepmsa_q3JGI_0,57.172
41,deepmsa_q3JGI_1,61.27
42,deepmsa_q3JGI_2,61.27
43,deepmsa_q3JGI_3,61.27
44,deepmsa_q3JGI_4,61.27
45,deepmsa_q4JGI_0,61.27
46,deepmsa_q4JGI_1,57.377
47,deepmsa_q4JGI_2,61.475
48,deepmsa_q4JGI_3,61.27
49,deepmsa_q4JGI_4,61.27
50,deepmsa_qMSA_0,61.27
51,deepmsa_qMSA_1,61.475
52,deepmsa_qMSA_2,61.475
53,deepmsa_qMSA_3,61.475
54,deepmsa_qMSA_4,61.27
55,deepmsa_qMSA_hhb_0,61.475
56,deepmsa_qMSA_hhb_1,61.27
57,deepmsa_qMSA_hhb_2,61.475
58,deepmsa_qMSA_hhb_3,61.475
59,deepmsa_qMSA_hhb_4,61.68
60,def_drop_nos_0,56.557
61,def_drop_nos_1,57.377
62,def_drop_nos_2,57.582
63,def_drop_nos_3,61.066
64,def_drop_nos_4,61.066
65,def_drop_s_0,57.172
66,def_drop_s_1,56.762
67,def_drop_s_2,57.377
68,def_drop_s_3,57.172
69,def_drop_s_4,59.631
70,def_esm_msa_0,60.861
71,def_esm_msa_1,60.656
72,def_esm_msa_2,60.861
73,def_esm_msa_3,61.066
74,def_esm_msa_4,61.066
75,def_esm_msa_ckpt5_0,57.172
76,def_esm_msa_ckpt5_1,57.172
77,def_esm_msa_ckpt5_2,57.992
78,def_esm_msa_ckpt5_3,61.68
79,def_esm_msa_ckpt5_4,61.27
80,def_notemp_0,56.352
81,def_notemp_1,57.582
82,def_notemp_2,56.967
83,def_notemp_3,57.172
84,def_notemp_4,57.172
85,def_notemp_drop_nos_0,57.582
86,def_notemp_drop_nos_1,57.582
87,def_notemp_drop_nos_2,57.377
88,def_notemp_drop_nos_3,57.172
89,def_notemp_drop_nos_4,57.172
90,def_notemp_drop_s_0,56.557
91,def_notemp_drop_s_1,56.967
92,def_notemp_drop_s_2,57.172
93,def_notemp_drop_s_3,56.352
94,def_notemp_drop_s_4,57.172
95,def_ptm_drop_nos_0,56.762
96,def_ptm_drop_nos_1,57.377
97,def_ptm_drop_nos_2,57.377
98,def_ptm_drop_nos_3,57.377
99,def_ptm_drop_nos_4,57.377
100,def_ptm_drop_s_0,56.967
101,def_ptm_drop_s_1,56.967
102,def_ptm_drop_s_2,57.582
103,def_ptm_drop_s_3,57.377
104,def_ptm_drop_s_4,57.582
105,def_ptm_not_drop_nos_0,57.172
106,def_ptm_not_drop_nos_1,57.172
107,def_ptm_not_drop_nos_2,56.967
108,def_ptm_not_drop_nos_3,57.172
109,def_ptm_not_drop_nos_4,57.377
110,def_ptm_not_drop_s_0,56.967
111,def_ptm_not_drop_s_1,56.967
112,def_ptm_not_drop_s_2,57.582
113,def_ptm_not_drop_s_3,57.172
114,def_ptm_not_drop_s_4,56.967
115,def_ptm_notemp_0,57.377
116,def_ptm_notemp_1,57.377
117,def_ptm_notemp_2,57.377
118,def_ptm_notemp_3,57.172
119,def_ptm_notemp_4,56.762
120,default_0,56.967
121,default_1,56.967
122,default_2,57.172
123,default_3,56.148
124,default_4,57.377
125,default_pdb70_new_0,57.787
126,default_pdb70_new_1,57.582
127,default_pdb70_new_2,57.787
128,default_pdb70_new_3,57.582
129,default_pdb70_new_4,57.377
130,default_ptm_0,57.582
131,default_ptm_1,57.377
132,default_ptm_2,57.582
133,default_ptm_3,57.787
134,default_ptm_4,57.787
135,default_seq_temp_0,56.352
136,default_seq_temp_1,56.762
137,default_seq_temp_2,57.172
138,default_seq_temp_3,56.967
139,default_seq_temp_4,56.762
140,dhr_0,61.68
141,dhr_1,61.68
142,dhr_2,61.885
143,dhr_3,61.68
144,dhr_4,61.885
145,esmfold_0,59.836
146,esmfold_1,59.836
147,esmfold_2,59.631
148,esmfold_3,60.041
149,esmfold_4,59.631
150,ori_seq_temp_0,60.246
151,ori_seq_temp_1,56.148
152,ori_seq_temp_2,61.27
153,ori_seq_temp_3,60.656
154,ori_seq_temp_4,60.451
155,original_0,59.836
156,original_1,61.066
157,original_2,61.475
158,original_3,61.475
159,original_4,55.943
