,model,tmscore
0,af3_jian_0,94.196
1,af3_jian_1,94.792
2,af3_jian_2,94.94
3,af3_jian_3,94.196
4,af3_jian_4,94.643
5,af3_jian_5,95.089
6,af3_jian_6,94.345
7,af3_jian_7,94.94
8,af3_jian_8,93.75
9,af3_jian_9,94.792
10,af3_pawan_0,94.494
11,af3_pawan_1,93.899
12,af3_pawan_2,95.089
13,af3_pawan_3,94.94
14,af3_pawan_4,95.536
15,af3_pawan_5,95.238
16,af3_pawan_6,94.345
17,af3_pawan_7,94.792
18,af3_pawan_8,94.345
19,af3_pawan_9,95.536
20,colabfold_web_0,95.238
21,colabfold_web_1,95.387
22,colabfold_web_2,95.387
23,colabfold_web_3,95.238
24,colabfold_web_4,95.238
25,colabfold_web_not_0,95.387
26,colabfold_web_not_1,95.238
27,colabfold_web_not_2,95.387
28,colabfold_web_not_3,95.387
29,colabfold_web_not_4,95.238
30,deepmsa_DeepJGI_0,95.387
31,deepmsa_DeepJGI_1,95.089
32,deepmsa_DeepJGI_2,95.238
33,deepmsa_DeepJGI_3,95.685
34,deepmsa_DeepJGI_4,95.685
35,deepmsa_DeepJGI_hms_0,95.536
36,deepmsa_DeepJGI_hms_1,95.536
37,deepmsa_DeepJGI_hms_2,95.387
38,deepmsa_DeepJGI_hms_3,95.387
39,deepmsa_DeepJGI_hms_4,95.685
40,deepmsa_dMSA_0,95.685
41,deepmsa_dMSA_1,95.685
42,deepmsa_dMSA_2,95.536
43,deepmsa_dMSA_3,95.387
44,deepmsa_dMSA_4,95.685
45,deepmsa_dMSA_hhb_0,95.238
46,deepmsa_dMSA_hhb_1,95.089
47,deepmsa_dMSA_hhb_2,95.536
48,deepmsa_dMSA_hhb_3,95.387
49,deepmsa_dMSA_hhb_4,95.685
50,deepmsa_dMSA_hms_0,95.387
51,deepmsa_dMSA_hms_1,95.536
52,deepmsa_dMSA_hms_2,95.685
53,deepmsa_dMSA_hms_3,95.685
54,deepmsa_dMSA_hms_4,95.536
55,deepmsa_dMSA_jac_0,95.387
56,deepmsa_dMSA_jac_1,95.685
57,deepmsa_dMSA_jac_2,95.536
58,deepmsa_dMSA_jac_3,95.685
59,deepmsa_dMSA_jac_4,95.536
60,deepmsa_q3JGI_0,95.089
61,deepmsa_q3JGI_1,95.238
62,deepmsa_q3JGI_2,95.089
63,deepmsa_q3JGI_3,95.238
64,deepmsa_q3JGI_4,95.238
65,deepmsa_q4JGI_0,95.238
66,deepmsa_q4JGI_1,94.643
67,deepmsa_q4JGI_2,95.238
68,deepmsa_q4JGI_3,95.238
69,deepmsa_q4JGI_4,95.089
70,deepmsa_qMSA_0,95.387
71,deepmsa_qMSA_1,95.536
72,deepmsa_qMSA_2,95.089
73,deepmsa_qMSA_3,95.238
74,deepmsa_qMSA_4,95.089
75,deepmsa_qMSA_hhb_0,95.536
76,deepmsa_qMSA_hhb_1,95.387
77,deepmsa_qMSA_hhb_2,95.536
78,deepmsa_qMSA_hhb_3,95.387
79,deepmsa_qMSA_hhb_4,95.387
80,deepmsa_qMSA_jac_0,95.238
81,deepmsa_qMSA_jac_1,95.685
82,deepmsa_qMSA_jac_2,95.387
83,deepmsa_qMSA_jac_3,95.089
84,deepmsa_qMSA_jac_4,95.387
85,def_drop_nos_0,95.536
86,def_drop_nos_1,95.685
87,def_drop_nos_2,95.387
88,def_drop_nos_3,95.982
89,def_drop_nos_4,96.429
90,def_drop_s_0,95.982
91,def_drop_s_1,95.982
92,def_drop_s_2,95.982
93,def_drop_s_3,96.131
94,def_drop_s_4,95.982
95,def_esm_msa_0,95.982
96,def_esm_msa_1,96.131
97,def_esm_msa_2,96.131
98,def_esm_msa_3,95.833
99,def_esm_msa_4,95.982
100,def_esm_msa_ckpt5_0,95.387
101,def_esm_msa_ckpt5_1,95.089
102,def_esm_msa_ckpt5_2,95.238
103,def_esm_msa_ckpt5_3,95.387
104,def_esm_msa_ckpt5_4,95.238
105,def_notemp_0,95.982
106,def_notemp_1,96.131
107,def_notemp_2,96.131
108,def_notemp_3,95.982
109,def_notemp_4,95.833
110,def_notemp_drop_nos_0,95.833
111,def_notemp_drop_nos_1,95.833
112,def_notemp_drop_nos_2,95.982
113,def_notemp_drop_nos_3,95.685
114,def_notemp_drop_nos_4,95.833
115,def_notemp_drop_s_0,95.833
116,def_notemp_drop_s_1,95.685
117,def_notemp_drop_s_2,95.982
118,def_notemp_drop_s_3,96.131
119,def_notemp_drop_s_4,96.131
120,def_ptm_drop_nos_0,95.982
121,def_ptm_drop_nos_1,95.089
122,def_ptm_drop_nos_2,96.28
123,def_ptm_drop_nos_3,95.982
124,def_ptm_drop_nos_4,96.28
125,def_ptm_drop_s_0,95.387
126,def_ptm_drop_s_1,95.982
127,def_ptm_drop_s_2,96.131
128,def_ptm_drop_s_3,95.387
129,def_ptm_drop_s_4,95.536
130,def_ptm_not_drop_nos_0,96.577
131,def_ptm_not_drop_nos_1,95.387
132,def_ptm_not_drop_nos_2,96.28
133,def_ptm_not_drop_nos_3,95.982
134,def_ptm_not_drop_nos_4,95.982
135,def_ptm_not_drop_s_0,95.536
136,def_ptm_not_drop_s_1,95.536
137,def_ptm_not_drop_s_2,95.536
138,def_ptm_not_drop_s_3,96.28
139,def_ptm_not_drop_s_4,96.429
140,def_ptm_notemp_0,95.685
141,def_ptm_notemp_1,95.833
142,def_ptm_notemp_2,95.685
143,def_ptm_notemp_3,95.685
144,def_ptm_notemp_4,96.131
145,default_0,95.536
146,default_1,95.982
147,default_2,96.28
148,default_3,95.833
149,default_4,96.429
150,default_pdb70_new_0,95.982
151,default_pdb70_new_1,95.982
152,default_pdb70_new_2,95.833
153,default_pdb70_new_3,96.131
154,default_pdb70_new_4,95.982
155,default_ptm_0,95.982
156,default_ptm_1,95.387
157,default_ptm_2,96.131
158,default_ptm_3,95.536
159,default_ptm_4,96.28
160,default_seq_temp_0,95.982
161,default_seq_temp_1,95.982
162,default_seq_temp_2,96.131
163,default_seq_temp_3,95.833
164,default_seq_temp_4,96.131
165,dhr_0,96.131
166,dhr_1,95.982
167,dhr_2,95.238
168,dhr_3,96.429
169,dhr_4,95.982
170,ori_seq_temp_0,95.833
171,ori_seq_temp_1,95.833
172,ori_seq_temp_2,95.833
173,ori_seq_temp_3,95.536
174,ori_seq_temp_4,95.833
175,original_0,95.833
176,original_1,95.982
177,original_2,95.833
178,original_3,95.685
179,original_4,95.982
