,model,tmscore
0,af3_jian_0,94.366
1,af3_jian_1,94.366
2,af3_jian_2,96.303
3,af3_jian_3,94.718
4,af3_jian_4,94.718
5,af3_jian_5,95.951
6,af3_jian_6,94.542
7,af3_jian_7,94.718
8,af3_jian_8,95.775
9,af3_jian_9,95.246
10,af3_pawan_0,94.014
11,af3_pawan_1,94.19
12,af3_pawan_2,97.711
13,af3_pawan_3,97.007
14,af3_pawan_4,95.951
15,af3_pawan_5,95.423
16,af3_pawan_6,98.415
17,af3_pawan_7,95.951
18,af3_pawan_8,94.19
19,af3_pawan_9,93.838
20,colabfold_web_0,89.789
21,colabfold_web_1,87.676
22,colabfold_web_2,89.613
23,colabfold_web_3,93.838
24,colabfold_web_4,90.845
25,colabfold_web_not_0,89.437
26,colabfold_web_not_1,90.141
27,colabfold_web_not_2,89.789
28,colabfold_web_not_3,91.549
29,colabfold_web_not_4,91.021
30,deepmsa_DeepJGI_0,86.796
31,deepmsa_DeepJGI_1,86.62
32,deepmsa_DeepJGI_2,88.38
33,deepmsa_DeepJGI_3,87.324
34,deepmsa_DeepJGI_4,88.028
35,deepmsa_DeepJGI_hms_0,84.331
36,deepmsa_DeepJGI_hms_1,86.796
37,deepmsa_DeepJGI_hms_2,84.859
38,deepmsa_DeepJGI_hms_3,87.324
39,deepmsa_DeepJGI_hms_4,86.62
40,deepmsa_dMSA_0,87.852
41,deepmsa_dMSA_1,87.324
42,deepmsa_dMSA_2,87.852
43,deepmsa_dMSA_3,87.148
44,deepmsa_dMSA_4,88.028
45,deepmsa_dMSA_hhb_0,19.718
46,deepmsa_dMSA_hhb_1,22.359
47,deepmsa_dMSA_hhb_2,22.535
48,deepmsa_dMSA_hhb_3,28.697
49,deepmsa_dMSA_hhb_4,25.0
50,deepmsa_dMSA_hms_0,86.972
51,deepmsa_dMSA_hms_1,87.148
52,deepmsa_dMSA_hms_2,86.972
53,deepmsa_dMSA_hms_3,87.324
54,deepmsa_dMSA_hms_4,87.324
55,deepmsa_dMSA_jac_0,86.444
56,deepmsa_dMSA_jac_1,86.796
57,deepmsa_dMSA_jac_2,86.796
58,deepmsa_dMSA_jac_3,86.972
59,deepmsa_dMSA_jac_4,87.148
60,deepmsa_q3JGI_0,87.676
61,deepmsa_q3JGI_1,87.5
62,deepmsa_q3JGI_2,87.676
63,deepmsa_q3JGI_3,86.62
64,deepmsa_q3JGI_4,89.789
65,deepmsa_q3JGI_hms_0,87.324
66,deepmsa_q3JGI_hms_1,88.908
67,deepmsa_q3JGI_hms_2,88.028
68,deepmsa_q3JGI_hms_3,88.556
69,deepmsa_q3JGI_hms_4,88.556
70,deepmsa_q4JGI_0,87.5
71,deepmsa_q4JGI_1,85.563
72,deepmsa_q4JGI_2,86.444
73,deepmsa_q4JGI_3,86.092
74,deepmsa_q4JGI_4,90.141
75,deepmsa_q4JGI_hms_0,87.852
76,deepmsa_q4JGI_hms_1,83.979
77,deepmsa_q4JGI_hms_2,86.796
78,deepmsa_q4JGI_hms_3,87.676
79,deepmsa_q4JGI_hms_4,92.254
80,deepmsa_qMSA_0,84.859
81,deepmsa_qMSA_1,87.852
