,model,tmscore
0,af3_jian_0,0.9304
1,af3_jian_1,0.9415
2,af3_jian_2,0.9379
3,af3_jian_3,0.9369
4,af3_jian_4,0.9533
5,af3_jian_5,0.9411
6,af3_jian_6,0.9391
7,af3_jian_7,0.9452
8,af3_jian_8,0.9554
9,af3_jian_9,0.9511
10,af3_pawan_0,0.9332
11,af3_pawan_1,0.9319
12,af3_pawan_2,0.9373
13,af3_pawan_3,0.9358
14,af3_pawan_4,0.9479
15,af3_pawan_5,0.9309
16,af3_pawan_6,0.9224
17,af3_pawan_7,0.9391
18,af3_pawan_8,0.9223
19,af3_pawan_9,0.9258
20,colabfold_web_0,0.9531
21,colabfold_web_1,0.9574
22,colabfold_web_2,0.9536
23,colabfold_web_3,0.959
24,colabfold_web_4,0.9532
25,colabfold_web_not_0,0.9595
26,colabfold_web_not_1,0.9563
27,colabfold_web_not_2,0.9547
28,colabfold_web_not_3,0.9566
29,colabfold_web_not_4,0.9576
30,deepmsa_DeepJGI_0,0.9346
31,deepmsa_DeepJGI_1,0.9503
32,deepmsa_DeepJGI_2,0.9465
33,deepmsa_DeepJGI_3,0.9353
34,deepmsa_DeepJGI_4,0.9356
35,deepmsa_dMSA_0,0.949
36,deepmsa_dMSA_1,0.9352
37,deepmsa_dMSA_2,0.934
38,deepmsa_dMSA_3,0.949
39,deepmsa_dMSA_4,0.9505
40,deepmsa_dMSA_hhb_0,0.9579
41,deepmsa_dMSA_hhb_1,0.9532
42,deepmsa_dMSA_hhb_2,0.955
43,deepmsa_dMSA_hhb_3,0.9548
44,deepmsa_dMSA_hhb_4,0.9514
45,deepmsa_dMSA_jac_0,0.9544
46,deepmsa_dMSA_jac_1,0.9496
47,deepmsa_dMSA_jac_2,0.9541
48,deepmsa_dMSA_jac_3,0.9344
49,deepmsa_dMSA_jac_4,0.9519
50,deepmsa_q3JGI_0,0.6168
51,deepmsa_q3JGI_1,0.6166
52,deepmsa_q3JGI_2,0.6086
53,deepmsa_q3JGI_3,0.6091
54,deepmsa_q3JGI_4,0.6091
55,deepmsa_q3JGI_hms_0,0.9344
56,deepmsa_q3JGI_hms_1,0.9335
57,deepmsa_q3JGI_hms_2,0.963
58,deepmsa_q3JGI_hms_3,0.9599
59,deepmsa_q3JGI_hms_4,0.9605
60,deepmsa_q4JGI_0,0.61
61,deepmsa_q4JGI_1,0.6098
62,deepmsa_q4JGI_2,0.6152
63,deepmsa_q4JGI_3,0.6174
64,deepmsa_q4JGI_4,0.6112
65,deepmsa_q4JGI_hms_0,0.9342
66,deepmsa_q4JGI_hms_1,0.9345
67,deepmsa_q4JGI_hms_2,0.9431
68,deepmsa_q4JGI_hms_3,0.9405
69,deepmsa_q4JGI_hms_4,0.9375
70,deepmsa_qMSA_0,0.6057
71,deepmsa_qMSA_1,0.6059
72,deepmsa_qMSA_2,0.6064
73,deepmsa_qMSA_3,0.6065
74,deepmsa_qMSA_4,0.6061
75,deepmsa_qMSA_hh3_0,0.9305
76,deepmsa_qMSA_hh3_1,0.9296
77,deepmsa_qMSA_hh3_2,0.9306
78,deepmsa_qMSA_hh3_3,0.9315
79,deepmsa_qMSA_hh3_4,0.9362
80,deepmsa_qMSA_hhb_0,0.9447
81,deepmsa_qMSA_hhb_1,0.9456
82,deepmsa_qMSA_hhb_2,0.9497
83,deepmsa_qMSA_hhb_3,0.9468
84,deepmsa_qMSA_hhb_4,0.9465
85,deepmsa_qMSA_hms_0,0.9574
86,deepmsa_qMSA_hms_1,0.952
87,deepmsa_qMSA_hms_2,0.9472
88,deepmsa_qMSA_hms_3,0.9578
89,deepmsa_qMSA_hms_4,0.9138
90,deepmsa_qMSA_jac_0,0.9313
91,deepmsa_qMSA_jac_1,0.9294
92,deepmsa_qMSA_jac_2,0.9316
93,deepmsa_qMSA_jac_3,0.9281
94,deepmsa_qMSA_jac_4,0.9305
95,def_dom_hhsearch_0,0.9599
96,def_dom_hhsearch_1,0.9563
97,def_dom_hhsearch_2,0.9563
98,def_dom_hhsearch_3,0.9571
99,def_dom_hhsearch_4,0.9574
100,def_dom_manual_0,0.9596
101,def_dom_manual_1,0.96
102,def_dom_manual_2,0.9592
103,def_dom_manual_3,0.9585
104,def_dom_manual_4,0.9585
105,def_dom_parser_0,0.9581
106,def_dom_parser_1,0.9571
107,def_dom_parser_2,0.9576
108,def_dom_parser_3,0.9567
109,def_dom_parser_4,0.9574
110,def_dom_unidoc_0,0.953
111,def_dom_unidoc_1,0.9521
112,def_dom_unidoc_2,0.9495
113,def_dom_unidoc_3,0.9518
114,def_dom_unidoc_4,0.9563
115,def_drop_nos_0,0.6159
116,def_drop_nos_1,0.6134
117,def_drop_nos_2,0.6056
118,def_drop_nos_3,0.6223
119,def_drop_nos_4,0.6136
120,def_drop_s_0,0.6157
121,def_drop_s_1,0.6112
122,def_drop_s_2,0.6135
123,def_drop_s_3,0.6109
124,def_drop_s_4,0.6092
125,def_esm_msa_0,0.6141
126,def_esm_msa_1,0.6098
127,def_esm_msa_2,0.6144
128,def_esm_msa_3,0.6141
129,def_esm_msa_4,0.6127
130,def_esm_msa_ckpt5_0,0.937
131,def_esm_msa_ckpt5_1,0.9367
132,def_esm_msa_ckpt5_2,0.8654
133,def_esm_msa_ckpt5_3,0.8699
134,def_esm_msa_ckpt5_4,0.788
135,def_notemp_0,0.9546
136,def_notemp_1,0.9737
137,def_notemp_2,0.9735
138,def_notemp_3,0.9451
139,def_notemp_4,0.9664
140,def_notemp_drop_nos_0,0.9541
141,def_notemp_drop_nos_1,0.9556
142,def_notemp_drop_nos_2,0.9452
143,def_notemp_drop_nos_3,0.9693
144,def_notemp_drop_nos_4,0.9581
145,def_notemp_drop_s_0,0.9664
146,def_notemp_drop_s_1,0.9464
147,def_notemp_drop_s_2,0.9692
148,def_notemp_drop_s_3,0.9402
149,def_notemp_drop_s_4,0.9329
150,def_ptm_drop_nos_0,0.605
151,def_ptm_drop_nos_1,0.6121
152,def_ptm_drop_nos_2,0.6246
153,def_ptm_drop_nos_3,0.6091
154,def_ptm_drop_nos_4,0.6354
155,def_ptm_drop_s_0,0.6108
156,def_ptm_drop_s_1,0.621
157,def_ptm_drop_s_2,0.6082
158,def_ptm_drop_s_3,0.6165
159,def_ptm_drop_s_4,0.6291
160,def_ptm_not_drop_nos_0,0.9611
161,def_ptm_not_drop_nos_1,0.957
162,def_ptm_not_drop_nos_2,0.959
163,def_ptm_not_drop_nos_3,0.959
164,def_ptm_not_drop_nos_4,0.9603
165,def_ptm_not_drop_s_0,0.9602
166,def_ptm_not_drop_s_1,0.9608
167,def_ptm_not_drop_s_2,0.9585
168,def_ptm_not_drop_s_3,0.9746
169,def_ptm_not_drop_s_4,0.9608
170,def_ptm_notemp_0,0.9575
171,def_ptm_notemp_1,0.9602
