,model,tmscore
0,af3_jian_0,0.5819
1,af3_jian_1,0.5823
2,af3_jian_2,0.5859
3,af3_jian_3,0.5849
4,af3_jian_4,0.5816
5,af3_pawan_0,0.6194
6,af3_pawan_1,0.5825
7,af3_pawan_2,0.5832
8,af3_pawan_3,0.5821
9,af3_pawan_4,0.582
10,colabfold_web_0,0.5793
11,colabfold_web_1,0.5792
12,colabfold_web_2,0.5784
13,colabfold_web_3,0.5787
14,colabfold_web_4,0.5824
15,colabfold_web_not_0,0.579
16,colabfold_web_not_1,0.5787
17,colabfold_web_not_2,0.579
18,colabfold_web_not_3,0.5819
19,colabfold_web_not_4,0.5832
20,deepmsa_DeepJGI_0,0.6079
21,deepmsa_DeepJGI_1,0.6061
22,deepmsa_DeepJGI_2,0.6083
23,deepmsa_DeepJGI_3,0.6081
24,deepmsa_DeepJGI_4,0.615
25,deepmsa_dMSA_0,0.6085
26,deepmsa_dMSA_1,0.6087
27,deepmsa_dMSA_2,0.6177
28,deepmsa_dMSA_3,0.6083
29,deepmsa_dMSA_4,0.6086
30,deepmsa_dMSA_hhb_0,0.6137
31,deepmsa_dMSA_hhb_1,0.6169
32,deepmsa_dMSA_hhb_2,0.6131
33,deepmsa_dMSA_hhb_3,0.6155
34,deepmsa_dMSA_hhb_4,0.6138
35,deepmsa_dMSA_jac_0,0.6076
36,deepmsa_dMSA_jac_1,0.6083
37,deepmsa_dMSA_jac_2,0.6084
38,deepmsa_dMSA_jac_3,0.6176
39,deepmsa_dMSA_jac_4,0.6164
40,deepmsa_q3JGI_0,0.5966
41,deepmsa_q3JGI_1,0.6155
42,deepmsa_q3JGI_2,0.6166
43,deepmsa_q3JGI_3,0.6177
44,deepmsa_q3JGI_4,0.6162
45,deepmsa_q4JGI_0,0.6144
46,deepmsa_q4JGI_1,0.5947
47,deepmsa_q4JGI_2,0.615
48,deepmsa_q4JGI_3,0.6162
49,deepmsa_q4JGI_4,0.6168
50,deepmsa_qMSA_0,0.6166
51,deepmsa_qMSA_1,0.619
52,deepmsa_qMSA_2,0.6158
53,deepmsa_qMSA_3,0.6151
54,deepmsa_qMSA_4,0.6165
55,deepmsa_qMSA_hhb_0,0.6209
56,deepmsa_qMSA_hhb_1,0.618
57,deepmsa_qMSA_hhb_2,0.6192
58,deepmsa_qMSA_hhb_3,0.6188
59,deepmsa_qMSA_hhb_4,0.6175
60,def_drop_nos_0,0.5771
61,def_drop_nos_1,0.5837
62,def_drop_nos_2,0.582
63,def_drop_nos_3,0.6217
64,def_drop_nos_4,0.6206
65,def_drop_s_0,0.5813
66,def_drop_s_1,0.5776
67,def_drop_s_2,0.5822
68,def_drop_s_3,0.5807
69,def_drop_s_4,0.6096
70,def_esm_msa_0,0.6179
71,def_esm_msa_1,0.6148
72,def_esm_msa_2,0.6189
