,model,tmscore
0,af3_jian_0,0.92
1,af3_jian_1,0.917
2,af3_jian_2,0.9175
3,af3_jian_3,0.9187
4,af3_jian_4,0.9178
5,af3_jian_5,0.9166
6,af3_jian_6,0.9185
7,af3_jian_7,0.9167
8,af3_jian_8,0.9192
9,af3_jian_9,0.9176
10,af3_pawan_0,0.9205
11,af3_pawan_1,0.9177
12,af3_pawan_2,0.9182
13,af3_pawan_3,0.9185
14,af3_pawan_4,0.9188
15,af3_pawan_5,0.9193
16,af3_pawan_6,0.9172
17,af3_pawan_7,0.915
18,af3_pawan_8,0.9202
19,af3_pawan_9,0.9193
20,colabfold_web_0,0.9228
21,colabfold_web_1,0.9227
22,colabfold_web_2,0.9229
23,colabfold_web_3,0.9231
24,colabfold_web_4,0.9236
25,colabfold_web_not_0,0.9233
26,colabfold_web_not_1,0.9231
27,colabfold_web_not_2,0.9234
28,colabfold_web_not_3,0.9236
29,colabfold_web_not_4,0.9223
30,deepmsa_dMSA_0,0.9212
31,deepmsa_dMSA_1,0.9209
32,deepmsa_dMSA_2,0.9212
33,deepmsa_dMSA_3,0.9208
34,deepmsa_dMSA_4,0.9212
35,deepmsa_dMSA_hhb_0,0.9213
36,deepmsa_dMSA_hhb_1,0.9207
37,deepmsa_dMSA_hhb_2,0.9209
38,deepmsa_dMSA_hhb_3,0.9218
39,deepmsa_dMSA_hhb_4,0.9207
40,deepmsa_qMSA_0,0.9246
41,deepmsa_qMSA_1,0.9237
42,deepmsa_qMSA_2,0.9254
43,deepmsa_qMSA_3,0.9248
44,deepmsa_qMSA_4,0.9238
45,deepmsa_qMSA_hhb_0,0.9223
46,deepmsa_qMSA_hhb_1,0.9227
47,deepmsa_qMSA_hhb_2,0.923
48,deepmsa_qMSA_hhb_3,0.9235
49,deepmsa_qMSA_hhb_4,0.9237
50,def_drop_nos_0,0.9215
51,def_drop_nos_1,0.9204
52,def_drop_nos_2,0.9212
53,def_drop_nos_3,0.922
54,def_drop_nos_4,0.9225
55,def_drop_s_0,0.9204
56,def_drop_s_1,0.9225
57,def_drop_s_2,0.9215
58,def_drop_s_3,0.922
59,def_drop_s_4,0.9202
60,def_esm_msa_0,0.9208
61,def_esm_msa_1,0.9216
62,def_esm_msa_2,0.9218
63,def_esm_msa_3,0.9219
64,def_esm_msa_4,0.9217
65,def_esm_msa_ckpt5_0,0.9219
66,def_esm_msa_ckpt5_1,0.9217
67,def_esm_msa_ckpt5_2,0.9208
68,def_esm_msa_ckpt5_3,0.9222
69,def_esm_msa_ckpt5_4,0.9217
70,def_notemp_0,0.9224
71,def_notemp_1,0.922
72,def_notemp_2,0.9224
73,def_notemp_3,0.9225
74,def_notemp_4,0.9222
75,def_notemp_drop_nos_0,0.9209
76,def_notemp_drop_nos_1,0.9225
77,def_notemp_drop_nos_2,0.9222
78,def_notemp_drop_nos_3,0.9222
79,def_notemp_drop_nos_4,0.9211
80,def_notemp_drop_s_0,0.9231
81,def_notemp_drop_s_1,0.9215
82,def_notemp_drop_s_2,0.9222
83,def_notemp_drop_s_3,0.9205
84,def_notemp_drop_s_4,0.9222
85,def_ptm_drop_nos_0,0.9217
86,def_ptm_drop_nos_1,0.9209
87,def_ptm_drop_nos_2,0.9212
88,def_ptm_drop_nos_3,0.9225
89,def_ptm_drop_nos_4,0.9215
90,def_ptm_drop_s_0,0.9221
91,def_ptm_drop_s_1,0.9205
92,def_ptm_drop_s_2,0.9209
93,def_ptm_drop_s_3,0.9215
94,def_ptm_drop_s_4,0.9225
95,def_ptm_not_drop_nos_0,0.9239
96,def_ptm_not_drop_nos_1,0.9242
97,def_ptm_not_drop_nos_2,0.9224
98,def_ptm_not_drop_nos_3,0.9235
99,def_ptm_not_drop_nos_4,0.9243
100,def_ptm_not_drop_s_0,0.9253
101,def_ptm_not_drop_s_1,0.9228
102,def_ptm_not_drop_s_2,0.9244
103,def_ptm_not_drop_s_3,0.9243
104,def_ptm_not_drop_s_4,0.9225
105,def_ptm_notemp_0,0.9228
106,def_ptm_notemp_1,0.9231
107,def_ptm_notemp_2,0.9228
108,def_ptm_notemp_3,0.923
109,def_ptm_notemp_4,0.924
110,default_0,0.9208
111,default_1,0.9216
112,default_2,0.9216
113,default_3,0.921
114,default_4,0.9212
115,default_pdb70_new_0,0.9215
116,default_pdb70_new_1,0.9221
117,default_pdb70_new_2,0.9219
118,default_pdb70_new_3,0.9213
119,default_pdb70_new_4,0.9226
120,default_ptm_0,0.9212
121,default_ptm_1,0.9209
122,default_ptm_2,0.9224
123,default_ptm_3,0.9213
124,default_ptm_4,0.9213
125,default_seq_temp_0,0.9219
126,default_seq_temp_1,0.9223
127,default_seq_temp_2,0.9223
128,default_seq_temp_3,0.922
129,default_seq_temp_4,0.9221
130,dhr_0,0.9238
131,dhr_1,0.9241
132,dhr_2,0.9246
133,dhr_3,0.9249
134,dhr_4,0.9244
135,ori_seq_temp_0,0.921
136,ori_seq_temp_1,0.9216
137,ori_seq_temp_2,0.922
138,ori_seq_temp_3,0.9223
139,ori_seq_temp_4,0.9221
140,original_0,0.9221
141,original_1,0.9219
142,original_2,0.9207
143,original_3,0.9214
144,original_4,0.922
